saving,actual_price,diff,make,odometer,year,model,body_style,kbb_price,state,city,ext_color,int_color,car_url,drive_line,transmission,city_fuel_economy,engine,doors,vin,zipCode,driveTrain,classification,trim,uuid,account_id
0.0,26998,0,Ford,7617,2020,Edge,SUV,26998,NY,Rockville Centre,White,Oxford,BLA,https://www.hertzcarsales.com/certified/Ford/2020-Ford-Edge-66b0ab490a0e0adf45cbab0270043093.htm,All-wheel Drive,Automatic,21,I-4 cyl,4,2FMPK4J98LBA28558,11570,All-wheel Drive,primary,SEL,66b0ab490a0e0adf45cbab0270043093,hertzcarsalesrockvillecenter
0.0,35298,0,Chevrolet,40722,2018,Tahoe,SUV,35298,NY,Rockville Centre,Silver ICE,BLA,https://www.hertzcarsales.com/certified/Chevrolet/2018-Chevrolet-Tahoe-63d3840c0a0e0a1720ee2fe3a270bf5a.htm,4x4,Automatic,16,V-8 cyl,4,1GNSKBKC6JR389219,11570,4x4,primary,LT,63d3840c0a0e0a1720ee2fe3a270bf5a,hertzcarsalesrockvillecenter
0.0,36298,0,Ford,39161,2019,Expedition,SUV,36298,NY,Rockville Centre,Agate Black,BLA,https://www.hertzcarsales.com/certified/Ford/2019-Ford-Expedition-87e316440a0e0adf2ba66a59f25c8cb0.htm,4x4,Automatic,17,V-6 cyl,4,1FMJU1JT0KEA36828,11570,4x4,primary,XLT,87e316440a0e0adf2ba66a59f25c8cb0,hertzcarsalesrockvillecenter
0.0,36698,0,Chevrolet,40305,2019,Tahoe,SUV,36698,NY,Rockville Centre,Silver ICE,BLA,https://www.hertzcarsales.com/certified/Chevrolet/2019-Chevrolet-Tahoe-4961ea800a0e0a1720ee2fe38538a9c6.htm,4x4,Automatic,15,V-8 cyl,4,1GNSKBKCXKR276035,11570,4x4,primary,LT,4961ea800a0e0a1720ee2fe38538a9c6,hertzcarsalesrockvillecenter
0.0,37498,0,GMC,39351,2019,Yukon,SUV,37498,NY,Rockville Centre,Onyx Black,BLA,https://www.hertzcarsales.com/certified/GMC/2019-GMC-Yukon-9be2c00e0a0e0a1701a6410a19e0187c.htm,4x4,Automatic,15,V-8 cyl,4,1GKS2BKC7KR159834,11570,4x4,primary,SLT,9be2c00e0a0e0a1701a6410a19e0187c,hertzcarsalesrockvillecenter
0.0,37698,0,GMC,41968,2019,Yukon,SUV,37698,NY,Rockville Centre,Crimson Red Tintcoat,BLA,https://www.hertzcarsales.com/certified/GMC/2019-GMC-Yukon-87e320d10a0e0adf2ba66a59529900f9.htm,4x4,Automatic,15,V-8 cyl,4,1GKS2BKC6KR163213,11570,4x4,primary,SLT,87e320d10a0e0adf2ba66a59529900f9,hertzcarsalesrockvillecenter
0.0,38998,0,Chevrolet,32778,2019,Tahoe,SUV,38998,NY,Rockville Centre,Black,BLA,https://www.hertzcarsales.com/certified/Chevrolet/2019-Chevrolet-Tahoe-8063597f0a0e0a6b43a3789b6536af58.htm,4x4,Automatic,15,V-8 cyl,4,1GNSKBKC9KR345135,11570,4x4,primary,LT,8063597f0a0e0a6b43a3789b6536af58,hertzcarsalesrockvillecenter
0.0,39998,0,Ford,23961,2019,Expedition,SUV,39998,NY,Rockville Centre,Magnetic,BLA,https://www.hertzcarsales.com/certified/Ford/2019-Ford-Expedition-d5825c8d0a0e0adf2ba66a59cb2ca7cf.htm,4x4,Automatic,17,V-6 cyl,4,1FMJU1JT6KEA49468,11570,4x4,primary,XLT,d5825c8d0a0e0adf2ba66a59cb2ca7cf,hertzcarsalesrockvillecenter
0.0,42375,0,Ford,37455,2019,Expedition Max,SUV,42375,NY,Rockville Centre,Agate Black,BLA,https://www.hertzcarsales.com/certified/Ford/2019-Ford-Expedition+Max-a3b3411c0a0e0a6b1353a935365acb4c.htm,4x4,Automatic,16,V-6 cyl,4,1FMJK1JT1KEA38982,11570,4x4,primary,XLT,a3b3411c0a0e0a6b1353a935365acb4c,hertzcarsalesrockvillecenter
0.0,45798,0,INFINITI,21895,2019,QX80,SUV,45798,NY,Rockville Centre,Graphite Shadow,BLA,https://www.hertzcarsales.com/certified/INFINITI/2019-INFINITI-QX80-a6c9a5320a0e0ae823c005a3ebbb4f97.htm,All-wheel Drive,Automatic,13,V-8 cyl,4,JN8AZ2NE1K9232586,11570,All-wheel Drive,primary,LUXE,a6c9a5320a0e0ae823c005a3ebbb4f97,hertzcarsalesrockvillecenter
0.0,14987,0,Hyundai,23223,2019,Kona,SUV,14987,NY,Massapequa Park,Pulse Red,BLA,https://www.hertzcarsales.com/certified/Hyundai/2019-Hyundai-Kona-57b6d2920a0e0ae7126286ae0089eb53.htm,Front-wheel Drive,Automatic,27,I-4 cyl,4,KM8K12AA4KU280845,11762,Front-wheel Drive,primary,SE,57b6d2920a0e0ae7126286ae0089eb53,hertzcarsalesmassapequa
0.0,17587,0,Dodge,33513,2019,Journey,SUV,17587,NY,Massapequa Park,Pitch Black,Black,https://www.hertzcarsales.com/certified/Dodge/2019-Dodge-Journey-95a928820a0e0a6b2311104fdd037f78.htm,Front-wheel Drive,Automatic,19,V-6 cyl,4,3C4PDCGG3KT731468,11762,Front-wheel Drive,primary,Crossroad,95a928820a0e0a6b2311104fdd037f78,hertzcarsalesmassapequa
0.0,18887,0,Dodge,32402,2019,Journey,SUV,18887,NY,Massapequa Park,Granite,Black,https://www.hertzcarsales.com/certified/Dodge/2019-Dodge-Journey-9cde97550a0e0a6b1353a935e6b8d2a3.htm,All-wheel Drive,Automatic,16,V-6 cyl,4,3C4PDDGG2KT708284,11762,All-wheel Drive,primary,Crossroad,9cde97550a0e0a6b1353a935e6b8d2a3,hertzcarsalesmassapequa
